Asset,Class,Notes,Std_日(%),HL_日(%),TR_日(%),Std_周(%),HL_周(%),TR_周(%),Std_月(%),HL_月(%),TR_月(%),Std_三月(%),HL_三月(%),TR_三月(%)
TLT,Government Bonds,20+ yr,0.9504914460828571,0.9197687716272953,1.142316411265807,1.92448779502022,2.765526022292972,2.8120277941223475,3.6823380974037985,6.0637609562225405,5.918418284357709,6.308732782568821,10.870742110832845,10.270884344713572
IEF,Government Bonds,7-10 yr,0.4193888716982273,0.3881839795967614,0.4969591549634169,0.8977611570109215,1.223029758858978,1.2571297086271147,1.7097058003049848,2.668838533198876,2.653157388465622,2.944803258199202,4.708967546029717,4.585176465769184
IEI,Government Bonds,3-7 yr,0.23815056522251687,0.22932100627680718,0.29182959994519136,0.5157181377522887,0.7509252279163724,0.7716735919030042,0.9719279073889496,1.7484849718144253,1.7472877598933099,1.7547550335630664,3.352920150096861,2.5467613038717984
SHY,Government Bonds,1-3 yr,0.08990845121134787,0.07469437741520478,0.09505496536705846,0.17888747578126038,0.22525072877516025,0.23333543513612864,0.3391860304634721,0.4758056694190435,0.47735464489058516,0.6712588405582992,0.8332484123877067,0.8263407676848071
LQD,Corporate Bonds,Investment Grade,0.48547152163804447,0.4558149334863816,0.5412263388309277,1.0111906423044963,1.2986863733884242,1.3212809469201408,2.177126099411921,2.9318273602556206,2.8796573074570877,3.228844865182793,5.252464256267779,5.036983195704675
VCIT,Corporate Bonds,Investment Grade,0.36797736841557926,0.3756944941814248,0.439830475378904,0.7988954334467231,1.0426269063835765,1.0614333853935063,1.618345004262412,2.307911157183005,2.2525581912453148,2.666955990448689,4.203786313230876,4.079015448831728
JNK,Corporate Bonds,Junk,0.5374907883141776,0.48684575642706307,0.5653848508177741,1.2218350207970703,1.4009484230847171,1.416977877393433,2.247312411479713,3.213558532205808,3.096428602245704,3.4526744321770173,5.715359835061871,5.2360140706620575
HYG,Corporate Bonds,Junk,0.5323355196826678,0.49130808726849395,0.5655590331514024,1.2027446103439634,1.4006841591514991,1.4181724811718817,2.1094183725258544,3.158236181551056,3.0489058556818316,3.1466496729153235,5.5175799155380245,5.067719487405682
EURUSD,FX Major,,0.5347951601612803,0.7014187429907912,0.8638552029886115,1.1769557222389384,1.8037768247621329,1.841874262737323,2.2294051407380446,3.8715435589792673,3.693774399848716,3.7220329152590352,7.414926426877309,6.664759909647289
USDJPY,FX Major,,0.5819689648551224,0.7119875527624523,0.9033850466960821,1.273463331066508,1.8509504822710208,1.9277460245317926,2.583546684650197,3.9281487494078338,3.8982045006619725,4.868213437003385,7.056239358849065,6.9133465602214335
GBPUSD,FX Major,,0.5508927834878463,0.7490763155448452,0.9018293640471063,1.2358048939632298,1.9468007100446538,1.915223011539903,2.2148132845381903,4.3855201025954225,3.9276323445229675,3.7810958150781935,8.737421388278834,7.1925474214403495
AUDUSD,FX Major,,0.6630418600810651,0.8930859698097131,1.1046361826566256,1.5180345039734886,2.2484997742791153,2.3206243580256944,2.686528132045517,4.659697276724836,4.560910644592012,4.346190302960723,8.491827950535278,7.985776213531879
USDZAR,FX EM,,1.159983031644687,1.3782111382611084,1.6727296279794073,2.2232395229029613,3.312481749552111,3.4132845029202383,3.9322448418510563,6.891274474112801,6.711456834677748,6.638000062178058,12.105636867701328,11.449980055506922
USDBRL,FX EM,,1.0588393068846425,1.4187046343168819,1.7224322723352758,2.083865410212689,3.331702555578879,3.4186717497756676,4.046140900990999,6.731916804534584,6.56292672693999,7.9269660945931655,12.2689594305331,11.666516019780532
USDTRY,FX EM,,0.9924037384561468,0.9932900255272265,1.2241275363303699,2.2273010951375993,2.598402619658515,2.647148461656797,4.6242461297633435,5.94163311198567,5.80777022959288,10.717312075254632,12.759976972190687,12.23227937323546
SPY,Equity Index,S&P 500,1.0856772364735452,1.136136456209375,1.254522214649873,2.185751869189955,3.0516697106737505,3.0382330150055212,4.21274096670237,6.68677817023586,6.358356275784396,6.09319383376006,12.139767311323531,11.099105884808388
QQQ,Equity Index,Nasdaq 100,1.2993303958513862,1.4306711690250962,1.5782686506345474,2.6310955240592246,3.8349999948435984,3.8056187404580863,5.111915303019967,8.47838451135436,8.047135347388293,7.281913937261904,15.47120794704282,14.147626715012452
DIA,Equity Index,Dow Jones Industrial,1.0417035230901297,1.048479741731331,1.1918828825721117,2.0866589141656453,2.9028301224387025,2.9022432943272087,4.18576127189566,6.394412080805052,6.093170875114477,6.132048282779689,11.490247788188494,10.55130709856903
IWV,Equity Index,Russell 3000,1.114747825908961,1.1152727073328974,1.2624472446995954,2.2535275200951643,3.1930078901384746,3.1370145678677948,4.346092203352367,7.323480022181607,6.723222210456437,6.456280131503278,13.806957095654807,11.381005337579484
IWM,Equity Index,Russell 2000,1.4045487187725292,1.6514770058806978,1.7910779841951936,3.0033689010462985,4.3310551382790194,4.273381977363825,5.792604306793592,9.292691668255985,8.71247091408642,9.02663357034006,16.383651745955177,14.618926986803245
META,Equity - Mega Cap,FAANMG,2.5048558266015,2.6929006396523567,2.9440522546009245,5.321496483941689,7.346079119031078,7.150015324850558,10.419877933233469,16.79496891868448,15.22610699858926,21.223642744416356,32.71357133922794,27.735637026573563
AAPL,Equity - Mega Cap,FAANMG,1.7738327113758505,2.033871471294225,2.234022996562231,3.7369760119808104,5.636412832624313,5.53943487094517,7.538462189092381,12.749954794843932,11.959138299759168,13.976532676821964,24.836496382081062,22.177027102799347
AMZN,Equity - Mega Cap,FAANMG,2.067457844994668,2.4163483645840476,2.6256327326436533,4.429177101020457,6.4975289708153845,6.373431418487599,8.49049837896143,14.509084160849541,13.536146312937781,12.998302039756297,27.32929290230129,24.17669854970303
NFLX,Equity - Mega Cap,FAANMG,3.0886900957540586,3.390711071899103,3.6285373327533534,7.399690337740647,9.385805009495547,8.976754367348837,15.198122455051113,21.902530321863324,19.466700894735744,27.191854325983616,45.94295260957284,36.992682606452
MSFT,Equity - Mega Cap,FAANMG,1.6164637934241963,1.8836506778886069,2.0488576679826385,3.2632929787788867,4.881631901873322,4.820151862871738,6.297387791519777,10.4553799503483,9.917950002645842,9.189180316174323,18.828401605955488,17.283781376733188
GOOG,Equity - Mega Cap,FAANMG,1.7397133329721073,1.973269418761561,2.16697631659727,3.6207467051187834,5.343765655545965,5.282834530149894,7.381490025296614,11.906503440671596,11.260799811663981,11.70335662385329,21.908365654386056,19.900395909086765
MAR,Equity - Large Cap,Discretionary/Industrial,1.9299182239053347,2.304693827598893,2.4594977791214165,4.2669532096674425,6.11947518161308,5.924172173005021,8.56737949229135,13.645964173247066,12.44505517533323,12.516479832936362,25.426122805864782,21.159452295920477
LVS,Equity - Large Cap,Discretionary/Industrial,2.4624462943141436,2.9783647378579943,3.227928242513719,5.436082085485924,8.072939427594552,7.804875098172702,10.594237978566765,18.092817707581784,16.299555533278227,15.89973920428247,32.83280398579526,27.176667741000564
LEN,Equity - Large Cap,Discretionary/Industrial,2.34868329924571,3.023397047665798,3.1534870180816976,4.982148633257507,7.747640264832797,7.44185908850344,9.313817902512307,16.473904746488678,14.911779772217333,16.25341242079691,30.29790380864442,25.254545668348463
BBY,Equity - Large Cap,Discretionary/Industrial,2.46586392615963,2.8743397033791815,3.0808839941153674,5.369026618007223,7.751776884423286,7.471956909984462,10.70121678124273,17.50886194602039,15.798330898913902,19.310771698435243,32.76708758668138,27.356994910167185
ODFL,Equity - Large Cap,Discretionary/Industrial,1.9704783838253526,2.640567939132399,2.7421601480554876,4.335747728029784,6.705002005245691,6.51139719934115,8.016745726088988,14.030479920852176,13.118115553551982,13.948129641115898,26.04081898969765,23.32458186934669
LUV,Equity - Large Cap,Discretionary/Industrial,2.1489168964242156,2.75513142550548,2.905899552718561,4.766456940036973,7.1476385684492705,6.924567079558279,10.586533248475911,16.003334336469877,14.748478702123581,18.571260190866862,31.317091573610554,26.814979127613928
PCAR,Equity - Large Cap,Discretionary/Industrial,1.6841001174065704,2.2026262588023404,2.3336508064122765,3.65837466958986,5.701359073716431,5.561381088998698,6.895267151140602,11.97611332034188,11.239438183736315,11.304159327380576,21.888437905321123,19.341082495294756
JCI,Equity - Large Cap,Discretionary/Industrial,1.628422657909938,2.0259863742432502,2.1737102037423397,3.5553297240642054,5.245346345254114,5.144097786584816,7.110094443345549,11.416920175717866,10.676119165420605,12.273454178290235,20.992996994695805,18.635579375645925
WMT,Equity - Large Cap,Discretionary/Industrial/Tech?,1.2384246343618117,1.4997117242313434,1.5921462830732367,2.6279000462800295,3.7882177617850545,3.750161882159925,4.9488663281325245,8.024403390759312,7.732433395060288,8.437128396361329,14.8006585711442,13.96312739211777
HSY,Equity - Large Cap,"F&B, Healthcare, Utilities",1.3306921247480326,1.675359652491645,1.739894166072145,2.6912104814115523,4.127685572186352,4.048561835349591,5.247714442290257,8.829454537196298,8.417779427982765,9.317810993549596,16.621339969287995,15.125960488103406
CPB,Equity - Large Cap,"F&B, Healthcare, Utilities",1.4034199154025004,1.8191175370740595,1.8875214808623864,2.9520582927864703,4.502576982142023,4.415039471793487,5.226425476661476,9.21501817704882,8.77629454097331,8.26921785238612,16.241743317955855,14.890512897941827
STZ,Equity - Large Cap,"F&B, Healthcare, Utilities",1.8111391287865712,2.0099805181625885,2.12456342422276,4.062082490107356,5.304179684936237,5.155595033511274,7.980134098976997,11.710313447943829,10.865627747072576,13.33884144803044,21.840912369462306,19.36372778698632
MNST,Equity - Large Cap,"F&B, Healthcare, Utilities",1.9163769478183028,2.301206394473691,2.406990702677936,4.058785738701249,5.911639453008295,5.779159492277747,7.260499945592122,13.265920240372608,12.286550514945041,12.043074679132314,25.055454291814748,21.746482713049843
BIIB,Equity - Large Cap,"F&B, Healthcare, Utilities",2.409213457457497,2.6011552529155426,2.742806863924426,4.908505611486189,6.597013954377743,6.5001673152360295,8.891703308247425,14.76584993388176,13.782172609060268,13.658960435544696,27.087123855640982,24.28171840534224
ALGN,Equity - Large Cap,"F&B, Healthcare, Utilities",2.908313710645117,3.3100014159756928,3.511614533048815,6.2153306106494535,8.99992120043661,8.582003529689192,12.660836470155285,20.587001693298955,18.364577158938893,22.304373841812524,40.887410112432505,33.56310823393786
XEL,Equity - Large Cap,"F&B, Healthcare, Utilities",1.230259118845281,1.6690859835882719,1.7142096502533317,2.5757741817694733,4.003126066570077,3.9231534560673658,4.692467535168359,8.288044039129081,7.870738873804032,7.731883107237934,15.223556114717987,14.017431374096361
PPL,Equity - Large Cap,"F&B, Healthcare, Utilities",1.3210768833001008,1.686102317589473,1.751449710471894,2.7947520609932694,4.127949409536391,4.036966926070836,4.942224218758083,8.566263254166712,8.016231522229084,7.323740261479222,15.197317088130069,13.37222715836973
SNDK,Equity - Large Cap,Semiconductor,6.4051626603227705,7.838246908024497,8.127910637444497,15.152573381988862,22.64798184161705,20.378719648696233,43.731052306298224,65.7128257995691,58.876115954599804,201.18216701421238,226.28741490364342,237.84360250275935
MU,Equity - Large Cap,Semiconductor,3.063090782054341,3.69642617747397,4.0317566321019545,6.920916356191105,10.374587705512058,9.932839396380306,12.880755642048305,23.008547045607063,20.455540857041107,24.9978058052843,45.23527018956844,37.233650470604864
TSM,Equity - Large Cap,Semiconductor,1.9534008356390218,2.048211208494674,2.412561328150998,4.010262301113709,5.957095844700462,5.92153817142172,8.19677314966907,13.227036916088537,12.496459995951197,14.401256751165006,25.35999204347405,23.164410282463777
PLTR,Equity - Large Cap,AI/Military,4.4538011308859415,5.557571078587025,5.800190634360428,9.961078223315296,15.137082168298562,14.242629939405171,24.888190877696953,37.663348409422944,33.052724771799724,40.190580492413964,85.42460322951474,58.35464110249355
WING,Equity - Mid Cap,,2.826350034636067,3.78432913957723,3.8658073699836093,6.548949807362366,9.608288692596114,9.127346473655152,13.860781365761138,21.723186838010985,19.399631371605132,21.60864346315154,42.36084125784672,34.551530063823115
FRPT,Equity - Mid Cap,,3.1520747396652165,4.529711224476545,4.551307459362939,6.710977274429486,11.311431421071012,10.556899068599021,13.204324527255853,25.022786021001437,21.637107244749572,25.19125691857253,47.78443089240848,38.03002488308328
BILL,Equity - Mid Cap,,4.560175065663134,5.575581203683401,5.802354173090843,9.815924929350047,14.921070137202605,13.958020350522983,22.893430891365472,37.4032385604555,30.601593026417767,30.8807678093314,77.41704500317917,50.18227418654175
PEGA,Equity - Mid Cap,,2.74424425719076,3.2363046564704248,3.3658098515177453,6.085547498390272,8.591654249746792,8.172721260333441,12.53337443811259,20.13757238746652,17.603337814403375,18.949030932610654,39.14214177884402,31.52652448646043
OLED,Equity - Mid Cap,,3.3050699351908084,4.036205497339397,4.207661348398155,7.381209806433814,10.59874577004552,10.137570180806108,14.690428884907867,24.4227188751405,21.556867003882793,25.33626598598756,49.226772454225106,40.57318532615104
XPO,Equity - Mid Cap,,3.058758782357245,3.990380983201923,4.134598950500999,7.103452638794579,10.592599428301162,10.011571448513932,14.109925344624305,23.484154673885854,20.849655146627672,26.519569634934054,47.34888218487068,38.76621579739494
FND,Equity - Mid Cap,,3.0584916386579177,3.9681921385602537,4.1442945168781,6.32747074045631,10.442708793333503,9.862628529687155,12.785235892637257,23.18828376164733,20.547210966099964,19.823803684368986,43.008928043614716,34.83483478502205
TREX,Equity - Mid Cap,,2.853422759289977,3.553000507846865,3.698689221771755,6.323011139677896,9.373917415868961,8.98682112471324,13.165299710682937,21.66469994065705,19.400046179528974,22.108947353854905,42.70298771170003,35.02794375588319
MOS,Equity - Mid Cap,,2.585223724321187,3.225580309335601,3.4146020829602546,5.67904353483807,8.516581243614088,8.177126444785992,11.092843119361609,18.643410086758884,16.57489550933632,21.657969358682898,36.43711757119941,29.319436520613717
OLLI,Equity - Mid Cap,,2.7090671427888404,3.7672279881237585,3.8464402137304443,5.683622392026791,9.330762163777763,8.89661854235234,11.448368169710609,20.081383297551355,18.032456064374855,18.907441633366123,38.773006717831805,32.14513054595597
DKS,Equity - Mid Cap,,2.5403397853576095,3.083443193563114,3.2570081492048604,5.467606015113988,8.070702040866541,7.6934311071533505,10.745881678275836,17.678899945230235,15.884010187554832,17.971926168227586,33.24256652904572,27.422240382812706
VIRT,Equity - Mid Cap,,2.215955070922192,3.026478443013816,3.0678628621398434,4.980548816449619,7.438640390937534,7.145042725724566,10.694978989175054,16.68189977607815,15.403953944663778,20.221305483638556,31.268787803729463,27.558216253451203
JBLU,Equity - Mid Cap,,3.053435649468092,3.771124426461049,3.9342761356328246,6.416186626958178,9.878398218597281,9.337972867029261,12.400010908896348,21.636378614638314,18.949890528000406,20.029669876090477,41.81261252958562,32.853874692680364
